race,sex,first_arrest_date,second_arrest_date,first_charge,second_charge,first_age,second_age,first_city,second_city,first_arrest_time,second_arrest_time,days_between_arrests
W,F,2023-04-18,2023-09-27,TRESPASSING AFTER WARNING,SHOPLIFTING,59,59,CHARLESTON,CHARLESTON,2220,2231,162
B,M,2017-09-02,2017-10-12,"POSS COCAINE BASE, F",SIMPLE POSS MARIJUANA 1ST,38,38,CHARLESTON,CHARLESTON,2225,1636,40
B,M,2016-01-30,2016-08-26,PWID/MANUF/DISTR/PURCH COCAINE BASE,DV 2ND,26,26,CHARLESTON,N CHARLESTON,1525,1613,209
B,M,2022-09-23,2024-02-08,DUI 1ST,PUBLIC DISORDERLY CONDUCT,58,59,CHARLESTON,CHARLESTON,1633,1903,503
B,M,2015-01-02,2019-04-16,UNLAWFUL CARRYING OF HANDGUN,PWID/MANUF COCAINE,19,24,CHARLESTON,CHARLESTON,10,1547,1565
B,M,2016-08-02,2023-11-03,DUS 2ND,DISTRIBUTION OF COCAINE BASE,37,44,CHARLESTON,CHARLESTON,1340,657,2649
B,M,2015-02-01,2015-03-13,OPEN CONTAINER ALCOHOL,LOITERING,52,52,CHARLESTON,CHARLESTON,526,2230,40
B,M,2015-12-26,2016-02-02,PWID/MANUF COCAINE,TRESPASSING,22,23,CHARLESTON,CHARLESTON,2042,1841,38
B,M,2015-03-20,2017-01-13,DUS 3RD +,TRAFFICKING COCAINE BASE 10-28G,24,26,CHARLESTON,CHARLESTON,1806,4,665
W,F,2017-07-31,2018-05-20,SIMPLE ASSAULT,SHOPLIFTING,59,60,CHARLESTON,CHARLESTON,1255,1608,293
B,F,2015-06-22,2018-10-09,DUS 1ST,SIMPLE ASSAULT,20,23,CHARLESTON COUNTY,CHARLESTON,1646,1713,1205
B,M,2015-04-23,2015-05-08,CDV 1ST,CDV 2ND,22,22,N CHARLESTON,CHARLESTON,1319,1443,15
B,M,2019-02-05,2024-07-06,DISTRIBUTION OF COCAINE BASE,"PUBLIC DISORDERLY CONDUCT, M",31,37,CHARLESTON,CHARLESTON,1000,157,1978
W,M,2016-03-19,2017-06-01,ASSAULT & BATTERY 3RD DEGREE,ASSAULT & BATTERY 2ND DEGREE,27,28,CHARLESTON,CHARLESTON,2222,1055,439
W,F,2020-04-30,2021-08-06,PROPERTY CRIME ENHANCEMENT,TAMPERING WITH VEHICLE,58,59,CHARLESTON,CHARLESTON,148,944,463
B,M,2015-07-09,2015-07-28,PUBLIC INTOXICATION,PUBLIC INTOXICATION,51,51,CHARLESTON,CHARLESTON,2255,2236,19
B,M,2023-05-20,2024-02-22,INDECENT EXPOSURE,CARRYING CONCEALED TOY PISTOL,32,33,CHARLESTON,CHARLESTON,209,1730,278
B,M,2015-08-02,2015-09-22,POSS MDMA / ECSTASY,HABITUAL OFFENDER,25,25,CHARLESTON,CHARLESTON,1806,1805,51
W,M,2015-11-24,2016-06-28,BURGLARY 2ND DEGREE,STRONG ARM ROBBERY,28,29,CHARLESTON,CHARLESTON,1246,1100,217
B,M,2016-04-18,2024-02-07,POSS HEROIN,OPEN CONTAINER ALCOHOL,27,35,CHARLESTON,CHARLESTON,2148,1918,2851
B,M,2020-10-26,2021-02-09,OUT OF AGENCY WARRANT,OPEN CONTAINER ALCOHOL,51,51,CHARLESTON,CHARLESTON,821,2100,106
B,M,2015-11-08,2018-02-20,TRESPASSING,DISTRIBUTION / PURCHASING MARIJUANA,23,25,CHARLESTON,CHARLESTON,354,1112,835
B,M,2020-10-16,2020-10-19,OPEN CONTAINER ALCOHOL,UNLAWFUL CARRYING OF HANDGUN,24,24,CHARLESTON,CHARLESTON,2026,1916,3
W,M,2015-09-09,2015-09-23,PUBLIC INTOXICATION,OPEN CONTAINER ALCOHOL,55,55,CHARLESTON,CHARLESTON,1024,1557,14
W,M,2015-08-05,2015-09-05,OPEN CONTAINER ALCOHOL,OPEN CONTAINER ALCOHOL,59,59,CHARLESTON,CHARLESTON,1713,1409,31
W,M,2017-03-22,2017-03-23,STALKING,BURGLARY 2ND DEGREE,55,55,WADMALAW ISLAND,WADMALAW,1819,214,1
B,M,2016-05-23,2016-08-25,TRESPASSING,TRESPASSING,27,28,CHARLESTON,CHARLESTON,1401,1600,94
B,M,2015-12-15,2016-04-19,OUT OF AGENCY WARRANT,TRESPASSING,52,52,CHARLESTON,CHARLESTON,2213,1411,126
B,M,2015-08-07,2018-09-26,DV 2ND,"DV 2ND, M",39,42,CHARLESTON,CHARLESTON,731,245,1146
W,F,2015-01-29,2015-03-30,OPEN CONTAINER ALCOHOL,INDECENT EXPOSURE,49,49,CHARLESTON,CHARLESTON,1430,1348,60
B,M,2016-06-11,2018-02-12,OUT OF AGENCY WARRANT,PWID/MANUF/DISTR/PURCH COCAINE BASE,30,32,CHARLESTON,CHARLESTON,2027,0,611
B,M,2015-04-06,2015-05-14,PROHIBITED AREAS FOR SOLICITORS,PEDDLING AGGRESSIVELY,35,35,CHARLESTON,CHARLESTON,1122,1915,38
B,M,2016-12-24,2023-03-28,RECKLESS DRIVING,"SIMPLE ASSAULT, M",46,52,CHARLESTON,CHARLESTON,2334,1305,2285
B,M,2023-05-30,2024-01-16,PUBLIC DISORDERLY CONDUCT,TRESPASSING,54,54,CHARLESTON,CHARLESTON,102,1245,231
B,M,2015-12-31,2016-03-21,OUT OF AGENCY WARRANT,TRESPASSING,28,28,CHARLESTON,CHARLESTON,1919,1845,81
B,M,2015-10-21,2016-11-27,PWID CLOSE PROX SCHOOL/PARK,PWID/MANUF/DISTR/PURCH COCAINE BASE,25,26,CHARLESTON,CHARLESTON,1158,2346,403
W,M,2015-03-18,2016-10-13,OUT OF AGENCY WARRANT,OUT OF AGENCY WARRANT,24,26,CHARLESTON,CHARLESTON,28,28,575
B,M,2024-10-10,2024-11-19,PROPERTY CRIME ENHANCEMENT,PROPERTY CRIME ENHANCEMENT,58,58,CHARLESTON,CHARLESTON,2121,1432,40
B,M,2016-01-06,2017-10-10,DUS 3RD +,SIMPLE POSS MARIJUANA 1ST,32,34,CHARLESTON,CHARLESTON,120,2127,643
W,F,2021-04-06,2023-06-05,UNLAWFUL CARRYING OF HANDGUN,MALICIOUS INJURY TO ANIMALS; PERSONAL PROPERTY; INJURY VALUE,31,34,CHARLESTON,CHARLESTON,2133,2310,790
B,F,2015-03-15,2015-09-06,POSS DRUG PARAPHERNALIA,OUT OF AGENCY WARRANT,24,24,CHARLESTON,CHARLESTON,2152,1903,175
B,M,2016-02-18,2017-08-01,POSS DRUG PARAPHERNALIA,POSS COCAINE BASE,52,54,CHARLESTON,CHARLESTON,1512,1216,530
B,M,2015-01-03,2015-07-23,OPEN CONTAINER ALCOHOL,PWID/MANUF/DISTR/PURCH COCAINE BASE,35,36,CHARLESTON,CHARLESTON,932,1809,201
B,M,2015-11-01,2021-10-05,LOUD NOISE,DV 2ND,52,58,CHARLESTON,CHARLESTON,109,1100,2165
B,M,2024-04-09,2024-05-11,TAMPERING WITH VEHICLE,PUBLIC INTOXICATION,32,32,CHARLESTON,CHARLESTON,108,918,32
W,F,2015-08-02,2016-02-17,FILING FALSE FELONY POLICE REPORT,SHOPLIFTING,50,51,CHARLESTON,CHARLESTON,245,1107,199
B,M,2015-06-17,2015-10-07,OUT OF AGENCY WARRANT,SIMPLE ASSAULT,23,23,CHARLESTON,NORTH CHARLESTON,1950,1430,112
B,F,2017-05-15,2018-04-06,SHOPLIFTING,SHOPLIFTING,40,41,CHARLESTON,CHARLESTON,135,1806,326
B,M,2015-04-14,2015-05-01,PUBLIC INTOXICATION,PROHIBITED AREAS FOR SOLICITORS,51,51,CHARLESTON,CHARLESTON,432,2103,17
B,M,2015-04-06,2015-07-28,DISORDERLY CONDUCT,SIMPLE ASSAULT,52,53,CHARLESTON,CHARLESTON,1902,1117,113
