,week_start,week_arrests,avg_temp_max,avg_temp_min,total_precip,avg_wind_max,year,week_of_year,temp_range,temp_precip_interaction,rolling_4w_arrests,rolling_8w_arrests,rolling_12w_arrests,lag_1_arrests,lag_2_arrests,lag_3_arrests,lag_4_arrests,is_summer,is_winter,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,zip_29403,zip_29405,zip_29406,zip_29407,zip_29412,zip_29414,zip_29418,zip_29455,zip_29464,quarter_2,quarter_3,quarter_4
29,2015-01-26,27,11.657142857142857,4.271428571428571,1.9,22.12857142857143,2015,5,7.385714285714285,22.148571428571426,24.5,23.4,23.4,18.0,25.0,28.0,19.0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,2015-01-26,80,11.657142857142857,4.271428571428571,1.9,22.12857142857143,2015,5,7.385714285714285,22.148571428571426,75.25,63.6,63.6,53.0,94.0,74.0,17.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
31,2015-01-26,10,11.657142857142857,4.271428571428571,1.9,22.12857142857143,2015,5,7.385714285714285,22.148571428571426,11.75,9.8,9.8,12.0,10.0,15.0,2.0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
32,2015-01-26,32,11.657142857142857,4.271428571428571,1.9,22.12857142857143,2015,5,7.385714285714285,22.148571428571426,26.0,23.0,23.0,29.0,23.0,20.0,11.0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33,2015-01-26,12,11.657142857142857,4.271428571428571,1.9,22.12857142857143,2015,5,7.385714285714285,22.148571428571426,9.75,8.8,8.8,5.0,12.0,10.0,5.0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,2015-01-26,14,11.657142857142857,4.271428571428571,1.9,22.12857142857143,2015,5,7.385714285714285,22.148571428571426,11.75,10.6,10.6,15.0,10.0,8.0,6.0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
37,2015-02-02,18,13.2,4.385714285714285,27.4,22.2,2015,6,8.814285714285713,361.67999999999995,22.0,22.5,22.5,27.0,18.0,25.0,28.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,2015-02-02,39,13.2,4.385714285714285,27.4,22.2,2015,6,8.814285714285713,361.67999999999995,66.5,59.5,59.5,80.0,53.0,94.0,74.0,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
39,2015-02-02,18,13.2,4.385714285714285,27.4,22.2,2015,6,8.814285714285713,361.67999999999995,12.5,11.166666666666666,11.166666666666666,10.0,12.0,10.0,15.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40,2015-02-02,29,13.2,4.385714285714285,27.4,22.2,2015,6,8.814285714285713,361.67999999999995,28.25,24.0,24.0,32.0,29.0,23.0,20.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
